CR2y7yEm4X035ZMzrTtN9Q,5.0,6,0,7,0
_9GXoHhdxc30ujPaQwh6Ew,1.0,2,0,1,0
8mM-nqxjg6pT04kwcjMbsw,5.0,2,0,1,0
Ch6CdTR2IVaVANr-RglMOg,5.0,2,0,2,0
NZrLmHRyiHmyT1JrfzkCOA,1.0,1,0,0,0
mWx5Sxt_dx-sYBZg6RgJHQ,3.79,19,30,45,36
hryUDaRk7FLuDAYui2oldw,3.83,207,28,130,31
2t6fZNLtiqsihVmeO7zggg,3.0,2,1,0,1
mn6F-eP5WU37b-iLTop2mQ,4.5,4,0,3,2
myXq7PFXkD_yfXT580SXMw,3.9,10,5,24,9
EMpFiVyiaMS58XsLZdS6vA,3.4,6,3,16,6
74Y-B-8MJhshV7aYSQ93lQ,3.4,5,0,5,1
34ir_XnUsrqserEuSZdGQA,3.39,83,50,109,49
1Aq2NzZGREMRdAkw55V7dg,2.88,8,1,3,1
B7XCvzvcriFc8xfIA-Wg4A,5.0,1,0,0,0
1aoDw1jVm5UQrVacWg0vnw,2.12,8,6,4,1
iH6y1T5AZZxaKpSNmvjGWw,4.75,4,3,7,3
2tyadgcxcaEu5LWgLdwLAQ,4.23,22,2,24,0
mc2glxrNAZuPnCudIaoK4Q,3.64,11,0,10,4
LKFo-Z93fhHHF-CkXoXvLw,3.75,4,1,11,3
09ZCt5inrt35zuJVtxBB5A,2.5,2,0,5,1
aSwY5VAO1S0uZASZlZgB3A,3.79,56,9,81,31
oh3BckWd5WXSANfGlnjErQ,4.5,7,0,3,1
y5YxcvgbQX_uVW0UtHWKxA,4.0,9,0,7,0
Vu29H1sy1poRld4LIL2Jqw,3.67,3,0,1,1
iK7I2HQ8kiyms_XuENr55w,5.0,2,0,1,1
QlSVps_q61IThBo489_Zyw,5.0,1,0,0,0
mzenirXt-7sZR2RhkhvLDQ,3.0,3,5,15,0
qMCT8OblN3finTvXcba-oA,3.62,16,13,21,5
jy94hgtLcuD0BbZ7o8KCYQ,4.5,4,1,7,3
8lrTKMjIJ9kt7rfVtjq3qg,5.0,3,0,2,2
IcSsf2QCA7T-KpdraDxTew,3.8,6,0,3,2
d09KNIq4YPYq1u5nVyqIUg,3.86,8,0,2,0
vxxNafFH_OMD5B1l231toA,5.0,1,0,0,0
bwPaqC08ddUoq-zminI3bw,3.17,6,0,5,1
LzT8mSfliJHhs68RTwQW5w,4.0,3,4,3,0
vAAeeV-kqabpuVr-DmtdFA,1.33,4,1,4,0
R75rQfzSeXzO9LVh0MFjJg,3.75,8,2,8,2
D_nff52rbs-OCZbVXeCqzg,5.0,1,0,4,1
6lyD0ZdmmYZsOMFFwOWsog,2.62,8,0,3,1
hqjDAPapGKJ3U4wUN1dGMA,4.33,3,1,5,3
iR8iTaCOjQCM-JG4qf23NQ,3.79,155,113,386,147
1Md7FNu_GujIwxbb9TqSqQ,3.89,18,1,3,1
-LmTXrlHEfLpDi34FVXNAg,4.0,9,0,1,0
ysZSP646Ikjb9pPKxuBurw,4.2,5,1,2,0
gXQ3peDz-H8mFZO_U4ys3w,4.27,30,21,38,37
8gIp7Emu7xBDnBjRKgkSOg,3.87,15,5,17,8
44302NAooinHOKKIWHDKXA,4.07,41,8,20,12
BDa9RGFZv9TV2lGAiuqjxQ,5.0,1,1,1,1
qw8n1PUrt4qBh-4eMjfv0Q,4.11,27,1,14,2
F2M53He6gzMb1vp3m7cKJg,4.78,10,0,3,0
Mcdt7tUA7jqiqCtyxXgq4g,2.0,2,0,0,0
q10h5nL1LnbaKMlNOfahfQ,4.33,3,2,6,1
CUUpi7gtqx1zojEGJ6Z5ew,3.82,407,317,1244,890
6hvcowqr8NYug9u-Bzw8Jg,3.51,379,295,795,527
pjfwk6ZnCAcJAsX4V6QhpA,5.0,1,1,1,1
BqmMeZQD03LHJ_vibTOp2g,3.88,8,3,6,2
lodglSjhVGXzRUTDMoyOCg,3.14,118,26,35,16
vSxaLh9RCl1BJDbIt0hxww,4.0,5,2,5,0
yBMGCKvNXnb9Gr6VVRTHGw,1.5,2,0,4,0
1zKpgs-JZixiWiS8PWdj2w,5.0,3,0,0,1
lzHNLEvRNFN-RQFmczYNBw,4.14,15,11,17,11
HplYk367S1EV6uywIIK5-w,4.33,3,0,0,1
IwDii1N3yCTXsgs4Nm2OEQ,5.0,3,0,1,0
sGL10Y44CVzzKNkLVeHOEQ,3.55,11,3,6,1
UF4IY9O6EaVo-hS5FqMsiA,3.91,193,142,209,135
mmLIP0mFRbDgRjlKvJSAQw,2.5,3,1,9,1
j9CYALELapJci8kQ61_7Cg,4.25,5,0,1,0
Q9YX5k3ICwUYGkMjADSokQ,4.31,13,6,6,5
PyOkV3pQ1aw__O4VAWmvcw,2.33,3,3,4,1
F6uG2OxXVNkAhuM24n3ZGg,3.0,2,0,2,0
Acl3hg7RPM6tj4zkPvdz1Q,3.0,2,1,2,0
dYtkphUrU7S2_bjif6k2uA,3.3,267,356,359,268
jgOtDM_CSVHoWhlf3JxUzQ,4.33,3,0,1,0
rbcbqdr8hV0iv8ISMheE3A,3.81,214,94,166,95
ZAbccZRkyprv9jA5JIqEAw,5.0,5,2,0,0
1NppMyL-2RXQvHUExIjxdA,3.52,90,15,52,11
